date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
16-09-2014,21230,21250,21170,21220,21170,20,50,0.0028341993386868936,0.001413760603204528
17-09-2014,21230,21250,21170,21220,21170,20,50,0.0028341993386868936,0.001413760603204528
18-09-2014,21230,21250,21170,21220,21170,20,50,0.0028341993386868936,0.001413760603204528
19-09-2014,21230,21250,21180,21230,21180,20,50,0.0023607176581681433,0.0009420631182288641
20-09-2014,21230,21250,21180,21230,21180,20,50,0.0023607176581681433,0.0009420631182288641
21-09-2014,21230,21250,21180,21230,21180,20,50,0.0023607176581681433,0.0009420631182288641
22-09-2014,21230,21250,21200,21250,21200,20,50,0.0014150943396227245,0.0
23-09-2014,21260,21280,21200,21250,21200,20,50,0.002830188679245227,0.0014117647058824456
24-09-2014,21250,21270,21190,21240,21190,20,50,0.002831524303916977,0.0014124293785311437
25-09-2014,21260,21280,21195,21245,21195,20,50,0.003066761028544418,0.0016474464579900872
26-09-2014,21260,21280,21195,21245,21195,20,50,0.003066761028544418,0.0016474464579900872
27-09-2014,21260,21280,21195,21245,21195,20,50,0.003066761028544418,0.0016474464579900872
28-09-2014,21260,21280,21195,21245,21195,20,50,0.003066761028544418,0.0016474464579900872
